,name,rating,interlinking,highly_rated,critical_rated,number_of_reviews,number_of_jobs
98,Megha Engineering & Infrastructures,4,Engineering & Construction | 5k-10k Employees | Conglomerate | 35 years old | Hyderabad/Secunderabad +296 more,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.2k,10
99,Vivo,4.1,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 15 years old | Gurgaon/Gurugram +376 more,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,4.2k,2
100,First Source,3.8,BPO | 10k-50k Employees | Public | 23 years old | Mumbai +55 more,,"Promotions / Appraisal, Salary & Benefits",4.1k,19
101,JustDial,3.6,Internet | 10k-50k Employees | Public | 28 years old | Mumbai +180 more,,"Promotions / Appraisal, Work Satisfaction, Job Security",4.1k,56
102,Bajaj Allianz Life Insurance,4.1,Insurance | 10k-50k Employees | 23 years old | Pune +505 more,"Salary & Benefits, Work Life Balance, Job Security",,4.1k,64
103,Hero MotoCorp,4.2,Automobile | 5k-10k Employees | Public | 40 years old | Gurgaon/Gurugram +317 more,"Work Life Balance, Company Culture, Job Security",,4k,--
104,OPPO,4,Consumer Electronics & Appliances | 10k-50k Employees | Public | 20 years old | Dongguan +363 more,Skill Development / Learning,Promotions / Appraisal,4k,11
105,Mahindra Finance,4.3,NBFC | 10k-50k Employees | Public | 33 years old | Mumbai +636 more,"Job Security, Company Culture, Work Life Balance",,4k,38
106,DMart,4,Retail | 10k-50k Employees | Fortune India 500 | 22 years old | Mumbai +211 more,"Job Security, Company Culture",Promotions / Appraisal,4k,78
107,Standard Chartered,3.9,Banking | 10k-50k Employees | Fortune India 500 | 171 years old | London +58 more,Job Security,Promotions / Appraisal,4k,5
108,Coforge,3.5,IT Services & Consulting | 10k-50k Employees | Public | 20 years old | Noida +87 more,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",4k,179
109,Cyient,3.8,IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Hyderabad/Secunderabad +35 more,Job Security,"Promotions / Appraisal, Salary & Benefits",3.9k,64
110,BigBasket,4,Internet | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +115 more,"Job Security, Skill Development / Learning",Promotions / Appraisal,3.9k,84
111,ICICI Lombard General Insurance Company,3.8,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +262 more,Job Security,Promotions / Appraisal,3.9k,175
112,Indiamart Intermesh,3.6,Internet | 5k-10k Employees | 28 years old | Noida +141 more,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",3.9k,583
113,CGI Group,4.1,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 48 years old | Montreal +30 more,"Job Security, Work Life Balance, Company Culture",,3.9k,240
114,Virtusa Consulting Services,3.8,IT Services & Consulting | 10k-50k Employees | 28 years old | Southborough +38 more,,Promotions / Appraisal,3.9k,5
115,Equitas Small Finance Bank,4.4,Banking | 10k-50k Employees | Fortune India 500 | 17 years old | Chennai +368 more,"Job Security, Company Culture, Work Life Balance",,3.8k,14
116,TVS Motor,4.1,Automobile | 5k-10k Employees | Public | 45 years old | Chennai +280 more,"Skill Development / Learning, Salary & Benefits, Company Culture",,3.7k,97
117,Manappuram Finance,4,NBFC | 10k-50k Employees | Public | 75 years old | Thrissur/Trichur +503 more,"Skill Development / Learning, Promotions / Appraisal",,3.7k,9
118,Ekart Logistics,4.1,Logistics | 1k-5k Employees | 15 years old | San Francisco +583 more,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,3.7k,--
119,GlobalLogic,3.7,IT Services & Consulting | 10k-50k Employees | 24 years old | San Jose +32 more,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.7k,34
120,UST,3.9,IT Services & Consulting | 10k-50k Employees | 23 years old | Aliso Viejo +36 more,"Work Life Balance, Company Culture",Promotions / Appraisal,3.7k,34
121,SBI Cards & Payment Services,3.8,Financial Services | 1k-5k Employees | 26 years old | Gurgaon/Gurugram +345 more,,"Promotions / Appraisal, Work Satisfaction, Company Culture",3.6k,134
122,Hewlett Packard Enterprise,4.3,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 9 years old | Houston +90 more,"Company Culture, Work Life Balance, Job Security",,3.6k,14
123,Atos Syntel,3.6,IT Services & Consulting | 5k-10k Employees | 44 years old | Troy +23 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6k,43
124,Bosch Global Software Technologies,4.1,IT Services & Consulting | 10k-50k Employees | 27 years old | Gerlingen +31 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.6k,9
125,IQVIA,4.1,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 42 years old | Durham +43 more,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3.6k,31
126,Nagarro,4.1,IT Services & Consulting | 10k-50k Employees | 28 years old | Munich +40 more,"Company Culture, Work Life Balance, Salary & Benefits",,3.6k,67
127,Cholamandalam Investment & Finance,4.1,NBFC | 10k-50k Employees | Fortune India 500 | 46 years old | Chennai +643 more,"Salary & Benefits, Job Security, Skill Development / Learning",,3.6k,19
128,SMFG India Credit,4.1,NBFC | 10k-50k Employees | 17 years old | Mumbai +484 more,"Salary & Benefits, Job Security, Skill Development / Learning",,3.6k,59
129,Bosch,4.3,Auto Components | 5k-10k Employees | Public | 138 years old | Gerlingen +102 more,"Company Culture, Work Life Balance, Skill Development / Learning",,3.6k,2
130,Reliance Communications,4,Telecom | 201-500 Employees | Public | 22 years old | Navi Mumbai +427 more,Skill Development / Learning,Promotions / Appraisal,3.5k,2
131,BNY Mellon,4,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 20 years old | New York City +16 more,"Company Culture, Work Life Balance, Salary & Benefits",,3.6k,271
132,L&T Technology Services,3.4,IT Services & Consulting | 10k-50k Employees | Public | 12 years old | Vadodara/Baroda +50 more,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6k,--
133,Schneider Electric,4.2,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 25 years old | Paris +117 more,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,3.5k,46
134,Hyundai Motor,4.4,Automobile | 10k-50k Employees | Fortune India 500 | 57 years old | Seoul +268 more,"Job Security, Salary & Benefits, Skill Development / Learning",,3.5k,6
135,Amdocs,4,Software Product | 10k-50k Employees | Forbes Global 2000 | 42 years old | Chesterfield +15 more,"Company Culture, Job Security, Salary & Benefits",,3.5k,1
136,Oyo Rooms,3.4,Hospitality | 1k-5k Employees | Indian Unicorn | 11 years old | Gurgaon +117 more,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.4k,39
137,Swiggy,3.9,Internet | 5k-10k Employees | Indian Unicorn | 10 years old | Bangalore +189 more,,"Job Security, Promotions / Appraisal",3.4k,104
138,CBRE,4.3,Real Estate | 10k-50k Employees | Forbes Global 2000 | 118 years old | Los Angeles +75 more,"Skill Development / Learning, Company Culture, Job Security",,3.4k,72
139,State Bank of India,3.9,Banking | 1 Lakh+ Employees | Fortune India 500 | 218 years old | Mumbai +491 more,Job Security,"Work Life Balance, Company Culture, Work Satisfaction",3.4k,--
140,JBM Group,4,Auto Components | 1k-5k Employees | Public | 41 years old | Gurgaon/Gurugram +88 more,"Job Security, Skill Development / Learning",,3.4k,--
141,BT Group,4.1,Telecom | 10k-50k Employees | Forbes Global 2000 | 178 years old | London +18 more,"Job Security, Work Life Balance, Company Culture",,3.4k,20
142,SBI Life Insurance Company,3.9,Insurance | 10k-50k Employees | 23 years old | Mumbai +527 more,Job Security,Promotions / Appraisal,3.3k,9
143,Optum,4,Healthcare | 10k-50k Employees | 47 years old | Prairie +30 more,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.3k,15
144,Ecom Express,4.1,Logistics | 10k-50k Employees | 12 years old | Gurgaon +630 more,"Skill Development / Learning, Work Life Balance, Company Culture",,3.3k,49
145,Nagarjuna Construction Company,4.2,Engineering & Construction | 5k-10k Employees | Public | 26 years old | Hyderabad/Secunderabad +227 more,"Job Security, Skill Development / Learning, Company Culture",,3.3k,19
146,Dell,4.2,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 40 years old | Round Rock +101 more,"Work Life Balance, Company Culture, Skill Development / Learning",,3.3k,3
147,Bajaj Auto,3.9,Automobile | 5k-10k Employees | Public | 79 years old | Pune +255 more,,Promotions / Appraisal,3.3k,8
148,KEC International,4.1,Engineering & Construction | 5k-10k Employees | Public | 79 years old | Mumbai +266 more,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,3.2k,4
149,Future Group,4.3,Retail | 10k-50k Employees | Conglomerate | 11 years old | Mumbai +203 more,"Skill Development / Learning, Company Culture, Work Life Balance",,3.2k,3
150,Piramal Capital Housing Finance,4.3,NBFC | 1k-5k Employees | 4 years old | Mumbai +330 more,"Company Culture, Skill Development / Learning, Work Life Balance",,3.2k,13
151,Aditya Birla Fashion and Retail,4.2,Fashion & Textile | 10k-50k Employees | Fortune India 500 | 9 years old | Mumbai +231 more,"Skill Development / Learning, Job Security, Company Culture",,3.2k,21
152,Muthoot Fincorp,4.1,NBFC | 10k-50k Employees | Conglomerate | 137 years old | Trivandrum/Thiruvananthapuram +547 more,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",3.2k,36
153,Royal Enfield,4.3,Automobile | 5k-10k Employees | 123 years old | Gurgaon/Gurugram +307 more,"Skill Development / Learning, Work Satisfaction, Company Culture",,3.1k,2
154,L&T Finance,4,NBFC | 10k-50k Employees | Public | 30 years old | Mumbai +477 more,"Salary & Benefits, Skill Development / Learning",,3.1k,--
155,Viatris,4.3,Pharma | 10k-50k Employees | Forbes Global 2000 | 4 years old | Canonsburg +71 more,"Salary & Benefits, Job Security, Work Life Balance",,3k,--
156,Tata Communications,4.2,Telecom | 5k-10k Employees | Public | 38 years old | Mumbai +90 more,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,3.1k,385
157,Samvardhana Motherson Group,3.8,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +81 more,Job Security,,3k,46
158,Intas Pharmaceuticals,4.2,Pharma | 10k-50k Employees | Fortune India 500 | 47 years old | Ahmedabad +117 more,"Job Security, Salary & Benefits, Work Life Balance",,3k,44
159,LG Electronics,4.1,Consumer Electronics & Appliances | 1k-5k Employees | Public | 66 years old | Seoul +249 more,"Job Security, Skill Development / Learning, Salary & Benefits",,3k,--
160,John Deere,4.3,Industrial Machinery | 5k-10k Employees | Fortune India 500 | 23 years old | Moline +123 more,"Company Culture, Skill Development / Learning, Work Life Balance",,3k,1
161,Varun Beverages,4.1,Beverage | 5k-10k Employees | Public | 29 years old | Gurgaon/Gurugram +284 more,"Job Security, Salary & Benefits",Promotions / Appraisal,3k,73
162,Kogta Financial India Limited,4.8,NBFC | 1k-5k Employees | Public | 28 years old | Jaipur +206 more,"Company Culture, Work Life Balance, Work Satisfaction",,3k,11
